date,location,new_cases,new_deaths,total_cases,total_deaths
2020-03-04,Argentina,,,1,
2020-03-05,Argentina,0,,1,
2020-03-06,Argentina,0,,1,
2020-03-07,Argentina,1,,2,
2020-03-08,Argentina,7,,9,1
2020-03-09,Argentina,3,0,12,1
2020-03-10,Argentina,0,0,12,1
2020-03-11,Argentina,5,0,17,1
2020-03-12,Argentina,2,0,19,1
2020-03-13,Argentina,12,0,31,1
2020-03-14,Argentina,3,1,34,2
2020-03-15,Argentina,11,0,45,2
2020-03-16,Argentina,11,0,56,2
2020-02-05,Belgium,,,1,
2020-02-06,Belgium,0,,1,
2020-02-07,Belgium,0,,1,
2020-02-08,Belgium,0,,1,
2020-02-09,Belgium,0,,1,
2020-02-10,Belgium,0,,1,
2020-02-11,Belgium,0,,1,
2020-02-12,Belgium,0,,1,
2020-02-13,Belgium,0,,1,
2020-02-14,Belgium,0,,1,
2020-02-15,Belgium,0,,1,
2020-02-16,Belgium,0,,1,
2020-02-17,Belgium,0,,1,
2020-02-18,Belgium,0,,1,
2020-02-19,Belgium,0,,1,
2020-02-20,Belgium,0,,1,
2020-02-21,Belgium,0,,1,
2020-02-22,Belgium,0,,1,
2020-02-23,Belgium,0,,1,
2020-02-24,Belgium,0,,1,
2020-02-25,Belgium,0,,1,
2020-02-26,Belgium,0,,1,
2020-02-27,Belgium,0,,1,
2020-02-28,Belgium,0,,1,
2020-02-29,Belgium,0,,1,
2020-03-01,Belgium,0,,1,
2020-03-02,Belgium,0,,1,
2020-03-03,Belgium,7,,8,
2020-03-04,Belgium,0,,8,
2020-03-05,Belgium,15,,23,
2020-03-06,Belgium,27,,50,
2020-03-07,Belgium,59,,109,
2020-03-08,Belgium,60,,169,
2020-03-09,Belgium,31,,200,
2020-03-10,Belgium,39,,239,
2020-03-11,Belgium,28,,267,
2020-03-12,Belgium,47,,314,
2020-03-13,Belgium,0,,314,
2020-03-14,Belgium,285,,599,
2020-03-15,Belgium,90,,689,
2020-03-16,Belgium,396,,1085,5
2020-02-27,Brazil,,,1,
2020-02-28,Brazil,0,,1,
2020-02-29,Brazil,0,,1,
2020-03-01,Brazil,1,,2,
2020-03-02,Brazil,0,,2,
2020-03-03,Brazil,0,,2,
2020-03-04,Brazil,0,,2,
2020-03-05,Brazil,1,,3,
2020-03-06,Brazil,4,,7,
2020-03-07,Brazil,6,,13,
2020-03-08,Brazil,6,,19,
2020-03-09,Brazil,6,,25,
2020-03-10,Brazil,0,,25,
2020-03-11,Brazil,9,,34,
2020-03-12,Brazil,18,,52,
2020-03-13,Brazil,25,,77,
2020-03-14,Brazil,21,,98,
2020-03-15,Brazil,23,,121,
2020-03-16,Brazil,79,,200,
2020-01-21,China,,,278,6
2020-01-22,China,32,0,310,6
2020-01-23,China,264,11,574,17
2020-01-24,China,261,8,835,25
2020-01-25,China,462,16,1297,41
2020-01-26,China,688,15,1985,56
2020-01-27,China,776,24,2761,80
2020-01-28,China,1776,26,4537,106
2020-01-29,China,1460,26,5997,132
2020-01-30,China,1739,38,7736,170
2020-01-31,China,1984,43,9720,213
2020-02-01,China,2101,46,11821,259
2020-02-02,China,2590,45,14411,304
2020-02-03,China,2827,57,17238,361
2020-02-04,China,3233,64,20471,425
2020-02-05,China,3892,66,24363,491
2020-02-06,China,3697,73,28060,564
2020-02-07,China,3151,73,31211,637
2020-02-08,China,3387,86,34598,723
2020-02-09,China,2653,89,37251,812
2020-02-10,China,2984,97,40235,909
2020-02-11,China,2473,108,42708,1017
2020-02-12,China,2022,97,44730,1114
2020-02-13,China,1820,254,46550,1368
2020-02-14,China,1998,13,48548,1381
2020-02-15,China,1506,143,50054,1524
2020-02-16,China,1120,142,51174,1666
2020-02-17,China,19461,106,70635,1772
2020-02-18,China,1893,98,72528,1870
2020-02-19,China,1752,136,74280,2006
2020-02-20,China,395,115,74675,2121
2020-02-21,China,894,118,75569,2239
2020-02-22,China,823,109,76392,2348
2020-02-23,China,650,97,77042,2445
2020-02-24,China,220,150,77262,2595
2020-02-25,China,518,71,77780,2666
2020-02-26,China,411,52,78191,2718
2020-02-27,China,439,29,78630,2747
2020-02-28,China,331,44,78961,2791
2020-02-29,China,433,47,79394,2838
2020-03-01,China,574,35,79968,2873
2020-03-02,China,206,42,80174,2915
2020-03-03,China,130,31,80304,2946
2020-03-04,China,118,38,80422,2984
2020-03-05,China,143,31,80565,3015
2020-03-06,China,146,30,80711,3045
2020-03-07,China,102,28,80813,3073
2020-03-08,China,46,27,80859,3100
2020-03-09,China,45,23,80904,3123
2020-03-10,China,20,17,80924,3140
2020-03-11,China,31,22,80955,3162
2020-03-12,China,26,11,80981,3173
2020-03-13,China,10,7,80991,3180
2020-03-14,China,30,14,81021,3194
2020-03-15,China,27,10,81048,3204
2020-03-16,China,29,14,81077,3218
2020-02-27,Denmark,,,1,
2020-02-28,Denmark,0,,1,
2020-02-29,Denmark,1,,2,
2020-03-01,Denmark,1,,3,
2020-03-02,Denmark,1,,4,
2020-03-03,Denmark,1,,5,
2020-03-04,Denmark,3,,8,
2020-03-05,Denmark,2,,10,
2020-03-06,Denmark,8,,18,
2020-03-07,Denmark,5,,23,
2020-03-08,Denmark,8,,31,
2020-03-09,Denmark,5,,36,
2020-03-10,Denmark,54,,90,
2020-03-11,Denmark,172,,262,
2020-03-12,Denmark,353,,615,
2020-03-13,Denmark,59,,674,
2020-03-14,Denmark,127,,801,
2020-03-15,Denmark,26,,827,
2020-03-16,Denmark,71,,898,1
2020-01-30,Finland,,,1,
2020-01-31,Finland,0,,1,
2020-02-01,Finland,0,,1,
2020-02-02,Finland,0,,1,
2020-02-03,Finland,0,,1,
2020-02-04,Finland,0,,1,
2020-02-05,Finland,0,,1,
2020-02-06,Finland,0,,1,
2020-02-07,Finland,0,,1,
2020-02-08,Finland,0,,1,
2020-02-09,Finland,0,,1,
2020-02-10,Finland,0,,1,
2020-02-11,Finland,0,,1,
